arquivo,categoria,algoritmo,tamanho_original_bytes,tamanho_comprimido_bytes,taxa_compressao,fator_compressao,percentual_economizado,tempo_compressao_ms,tempo_descompressao_ms,memoria_pico_kb,entropia_shannon,taxa_repeticao_lexical,densidade_tokens,lossless_ok
access.log,baseline_log,Huffman,17599,9331,1.8861,0.5302,46.98,23.925,18.857,50.11,4.1304,0.0,0.0,True
access.log,baseline_log,LZW,17599,2602,6.7636,0.1478,85.22,16.183,3.961,263.59,4.1304,0.0,0.0,True
jansson_dump.c,c_medio,Huffman,14326,8304,1.7252,0.5796,42.04,20.056,20.212,66.28,4.3135,0.2046,0.0865,True
jansson_dump.c,c_medio,LZW,14326,7542,1.8995,0.5265,47.35,20.482,11.75,567.89,4.3135,0.2046,0.0865,True
encoder_sample.py,py_pequeno,Huffman,1059,891,1.1886,0.8414,15.86,3.504,1.887,20.45,4.6932,0.1217,0.0595,True
encoder_sample.py,py_pequeno,LZW,1059,1076,0.9842,1.0161,-1.61,3.009,1.877,98.58,4.6932,0.1217,0.0595,True
high_entropy_payload.py,py_medio,Huffman,13793,10749,1.2832,0.7793,22.07,22.524,29.152,64.02,6.0189,0.0,0.001,True
high_entropy_payload.py,py_medio,LZW,13793,18428,0.7485,1.336,-33.6,33.318,22.751,695.42,6.0189,0.0,0.001,True
lzw_encoder_sample.py,py_pequeno,Huffman,2233,1683,1.3268,0.7537,24.63,6.221,5.813,27.47,4.7696,0.1094,0.0582,True
lzw_encoder_sample.py,py_pequeno,LZW,2233,1896,1.1777,0.8491,15.09,5.131,4.74,132.61,4.7696,0.1094,0.0582,True
requests_sessions.py,py_medio,Huffman,34072,19728,1.7271,0.579,42.1,52.906,43.657,110.42,4.5026,0.1289,0.0685,True
requests_sessions.py,py_medio,LZW,34072,20536,1.6591,0.6027,39.73,40.102,15.445,870.67,4.5026,0.1289,0.0685,True
